Country,GrandSlam,Count
Argentina (ARG),Australian Open,2
Argentina (ARG),French Open,2
Argentina (ARG),US Open,2
Australia (AUS),Australian Open,50
Australia (AUS),French Open,11
Australia (AUS),US Open,18
Australia (AUS),Wimbledon,21
Austria (AUT),French Open,1
Austria (AUT),US Open,1
Brazil (BRA),French Open,3
Croatia (CRO),US Open,1
Croatia (CRO),Wimbledon,1
Czech Republic (CZE),Australian Open,1
Czechoslovakia (TCH),Australian Open,2
Czechoslovakia (TCH),French Open,5
Czechoslovakia (TCH),US Open,3
Czechoslovakia (TCH),Wimbledon,1
Ecuador (ECU),French Open,1
Egypt (EGY),French Open,2
Egypt (EGY),Wimbledon,1
France (FRA),Australian Open,1
France (FRA),French Open,38
France (FRA),US Open,3
France (FRA),Wimbledon,7
Germany (GER),Australian Open,2
Germany (GER),French Open,3
Germany (GER),US Open,1
Germany (GER),Wimbledon,4
Great Britain (GBR),French Open,2
Great Britain (GBR),US Open,5
Great Britain (GBR),Wimbledon,37
Hungary (HUN),French Open,1
Italy (ITA),French Open,3
Mexico (MEX),US Open,1
Netherlands (NED),Wimbledon,1
New Zealand (NZL),Australian Open,2
New Zealand (NZL),Wimbledon,4
Romania (ROU),French Open,1
Romania (ROU),US Open,1
Russia (RUS),Australian Open,2
Russia (RUS),French Open,1
Russia (RUS),US Open,2
Serbia (SRB),Australian Open,9
Serbia (SRB),French Open,2
Serbia (SRB),US Open,3
Serbia (SRB),Wimbledon,7
South Africa (RSA),Australian Open,1
Spain (ESP),Australian Open,2
Spain (ESP),French Open,22
Spain (ESP),US Open,7
Spain (ESP),Wimbledon,3
Sweden (SWE),Australian Open,6
Sweden (SWE),French Open,10
Sweden (SWE),US Open,3
Sweden (SWE),Wimbledon,7
Switzerland (SUI),Australian Open,7
Switzerland (SUI),French Open,2
Switzerland (SUI),US Open,6
Switzerland (SUI),Wimbledon,8
United Kingdom (GBR),Australian Open,5
United States (USA),Australian Open,18
United States (USA),French Open,11
United States (USA),US Open,85
United States (USA),Wimbledon,33
